Dataset,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,sMAPE_mean,sMAPE_std,N_windows
PJM,SeasonalNaive,3622.145833333333,2544.9904960003846,4175.387690606505,2655.5883049667,11.112771309268053,7.089281942853976,11.007104689452607,6.83563735688507,107
PJM,AutoETS,4095.8709575598155,1858.31828310629,4733.162199479875,2072.1983629614556,13.124733168390266,5.58673279389352,12.868376045810212,5.153144650153519,107
PJM,XGBoost,2485.904489677643,1571.8607317219005,3035.9546203245936,1826.3240127717038,7.687188733482913,4.8789745263052975,7.615056121271024,4.510634675362992,107
PJM,Raw Chronos (Zero-shot),2980.2741214455104,1351.7858013557009,3983.21724531797,1698.2269289773446,9.205330310367993,4.0195135914275175,9.061880874351235,3.686444602045952,107
PJM,STL + Chronos (Zero-shot),4149.563375205726,3069.704560328538,4705.827465752943,3174.7612578209246,12.85960123937066,8.98372451712102,12.678830354207351,8.393784911655203,107
PJM,STL + DoW + Chronos (Zero-shot),4315.685754192436,3031.9661699744674,4959.422638836191,3121.617706749538,13.426872556408217,8.974114456109179,13.032080943660114,8.066363005541449,107
PJM,STL + DoW + Chronos + LoRA,4321.681720934925,3036.0156781483756,4959.815863033933,3118.100755580979,13.439659627518528,8.956150309966638,13.051113054347868,8.072253032330199,107
PJM,Raw LAG-LLAMA (Zero-shot),7477.756208092995,4405.618237117433,8436.481254539865,4760.065297856347,24.360313297161326,14.043089259189488,20.463203899026983,10.262158840469827,107
PJM,STL + DoW + LAG-LLAMA (Zero-shot),4128.8995335416,3074.9865942561055,4669.847128762682,3174.700483185526,12.792643418735313,8.99876454636724,12.635809683378348,8.428013141699791,107
ETTm1,SeasonalNaive,1.7122806387193417,1.1902584110333778,1.901869365927499,1.2236015433656655,307908.18781139166,1698414.5445495425,33.78121852760617,36.61905608981131,580
ETTm1,AutoETS,0.9977693256802358,0.6919359373180808,1.1884416335410342,0.7760255892027204,142947.39879595474,960178.7614200347,22.22198250830194,33.288870568929525,580
ETTm1,XGBoost,1.2998962537044976,0.85428428648152,1.5328407187281234,0.9609365156114531,340751.9582321025,1979276.4826140886,25.92809968993416,32.70924768756172,580
ETTm1,Raw Chronos (Zero-shot),1.3388000071073927,0.6450534101037259,1.6967226118078802,0.7582791608805406,214976.81027258176,1316175.0878829022,26.691732089198453,28.968204972940274,580
ETTm1,STL + Chronos (Zero-shot),1.9049701912109385,1.3791791806594829,2.1288954331551944,1.4233824888458104,307907.7447492493,2175589.0515175825,38.846273619577225,41.65043344776269,580
ETTm1,STL + DoW + Chronos (Zero-shot),1.9111510252689123,1.3739547500082436,2.128001666772696,1.4106098469561803,324909.97100717353,2343308.857001497,38.87254890091778,41.44794043033092,580
ETTm1,STL + DoW + Chronos + LoRA,1.9143168930760763,1.3820847689739213,2.130003667264946,1.4182831510059413,326852.8398823096,2368438.6363361096,38.97404575114688,41.623890663291256,580
ETTm1,Raw LAG-LLAMA (Zero-shot),1.9694870806801608,1.4605044285419195,2.2643740001298416,1.5921756048383948,293158.3087725598,1596236.12924891,33.09780156085748,33.41228394046448,580
ETTm1,STL + DoW + LAG-LLAMA (Zero-shot),1.9132998971538353,1.4167182241659362,2.1070341333307527,1.4500299510505454,310998.3965859845,2259656.740091167,39.71503081721941,43.39971127555604,580
UCI_Electricity,SeasonalNaive,43140.552226027394,37839.09982076152,56998.523129078436,49136.92462798075,7.13338625019015,31.31270029850744,4.965427558592404,4.113201909814219,219
UCI_Electricity,AutoETS,201342.56234120874,126695.28055152534,281521.53115703614,158578.15492723434,42.762058921229645,66.2376150209303,25.230402117844545,14.102644302775968,219
UCI_Electricity,XGBoost,26327.745273259134,20150.876772456773,35155.75627731446,28236.480867613358,5.633250200676142,30.900763533432173,3.4354920012710304,2.9164698401713065,219
UCI_Electricity,Raw Chronos (Zero-shot),32271.067830403645,23258.64798903465,47178.40561915258,42485.213637787725,6.2843799505484945,30.25934915209343,4.187547312744619,3.528181545007794,219
UCI_Electricity,STL + Chronos (Zero-shot),50093.365098328555,42910.93304521912,61216.208891938775,50936.65311858255,8.46840434445871,29.792660975780695,6.431093448531955,5.026565697057353,219
UCI_Electricity,STL + DoW + Chronos (Zero-shot),50427.34426225853,42962.49307438971,61803.830806564634,50937.63759972798,8.537796331892524,30.043856864634506,6.466054129325715,5.003217199488079,219
UCI_Electricity,STL + DoW + Chronos + LoRA,50708.75810810308,43148.97363298596,62207.42926110448,51040.466541018606,8.56248313444246,29.729768695560512,6.512844715455064,5.038647163261844,219
UCI_Electricity,Raw LAG-LLAMA (Zero-shot),131100.15437119483,32887.78925353251,156691.96644419606,35558.65759639338,25.647166133464626,47.09578767590929,18.743568278576316,3.8597921233236807,219
UCI_Electricity,STL + DoW + LAG-LLAMA (Zero-shot),49789.299850624826,42961.78486462182,60768.63129830649,51063.69256365767,8.413413117011933,29.703746585023197,6.381183776890663,5.011626997534186,219
